/media/sunyu/OS1/suanli/collectionunzip/SET3_20
obj                 |bestobj             |time                |
2912399.526         |2912399.526         |0.140               |INIT
544115.320          |544115.320          |50.162              |KS2
340396.992          |340396.992          |100.183             |KS2
279581.954          |279581.954          |150.204             |KS2
273790.981          |273790.981          |200.224             |KS2
250249.954          |250249.954          |250.244             |KS2
244402.411          |244402.411          |300.264             |KS2
229152.473          |229152.473          |350.292             |crossover
217193.003          |217193.003          |355.179             |lns
217192.993          |217192.993          |359.237             |lns
217192.983          |217192.983          |363.382             |lns
216894.476          |216894.476          |367.900             |random
210012.683          |210012.683          |378.920             |random
194977.740          |194977.740          |435.054             |lns
193774.648          |193774.648          |441.118             |random
193036.063          |193036.063          |483.594             |random
193036.043          |193036.043          |560.180             |random
191271.992          |191271.992          |587.798             |random
191244.236          |191244.236          |619.074             |random
190889.977          |190889.977          |680.626             |random
190787.113          |190787.113          |704.599             |random
190714.699          |190714.699          |725.646             |random
189039.625          |189039.625          |758.621             |random
188470.954          |188470.954          |866.363             |random
187918.908          |187918.908          |976.901             |random
total time : 1000.0082459449768
