/media/sunyu/OS1/suanli/collectionunzip/a2c1s1
obj                 |bestobj             |time                |
20427.523           |20427.523           |0.470               |KS1
12849.524           |12849.524           |37.592              |KS2
12432.754           |12432.754           |87.617              |KS2
12079.517           |12079.517           |137.632             |KS2
11418.234           |11418.234           |187.659             |KS2
11201.533           |11201.533           |237.686             |KS2
11186.120           |11186.120           |287.715             |KS2
11184.630           |11184.630           |298.506             |crossover
11158.957           |11158.957           |299.161             |lns
11104.225           |11104.225           |302.111             |random
11097.754           |11097.754           |328.028             |random
11073.607           |11073.607           |346.701             |lns
11042.088           |11042.088           |397.302             |lns
11037.798           |11037.798           |420.415             |lns
10977.611           |10977.611           |471.551             |random
10977.611           |10977.611           |533.457             |random
10969.679           |10969.679           |630.214             |random
10954.481           |10954.481           |688.850             |lns
10952.210           |10952.210           |698.884             |random
10948.940           |10948.940           |750.505             |random
10948.929           |10948.929           |819.184             |random
10948.926           |10948.926           |848.895             |random
total time : 1000.014664888382
