/media/sunyu/OS1/suanli/collectionunzip/anonymous_39
obj                 |bestobj             |time                |
524726.343          |524726.343          |7.947               |INIT
524726.343          |524726.343          |8.020               |KS2
524703.157          |524703.157          |8.089               |KS2
315825.497          |315825.497          |58.268              |KS2
315825.497          |315825.497          |58.755              |KS2
315825.497          |315825.497          |59.000              |random
315825.497          |315825.497          |59.893              |random
248735.991          |248735.991          |95.532              |lns
248735.991          |248735.991          |106.209             |random
248735.991          |248735.991          |119.400             |random
248735.991          |248735.991          |130.296             |random
248735.991          |248735.991          |149.570             |random
248735.991          |248735.991          |167.268             |random
248735.771          |248735.771          |267.315             |lns
248711.434          |248711.434          |280.832             |lns
248711.214          |248711.214          |380.886             |lns
248711.214          |248711.214          |421.296             |random
248710.922          |248710.922          |466.140             |random
245343.285          |245343.285          |480.608             |lns
245343.285          |245343.285          |491.702             |random
245343.065          |245343.065          |591.456             |lns
245142.292          |245142.292          |615.105             |random
245142.292          |245142.292          |629.804             |random
234016.035          |234016.035          |646.156             |lns
234016.025          |234016.025          |660.096             |lns
234016.025          |234016.025          |706.018             |random
233782.810          |233782.810          |750.482             |random
231679.696          |231679.696          |816.894             |lns
231679.696          |231679.696          |828.969             |random
231679.696          |231679.696          |870.893             |random
231679.696          |231679.696          |875.704             |random
231679.696          |231679.696          |889.217             |random
231679.696          |231679.696          |895.942             |random
231679.696          |231679.696          |908.106             |random
231633.032          |231633.032          |921.518             |random
231633.032          |231633.032          |930.592             |random
231633.032          |231633.032          |983.243             |random
231633.012          |231633.012          |992.276             |random
231633.012          |231633.012          |1000.104            |random
total time : 1000.1048035621643
