/media/sunyu/OS1/suanli/collectionunzip/bab6
obj                 |bestobj             |time                |
-246468.956         |-246468.956         |577.709             |KS1
-247145.298         |-247145.298         |579.422             |KS2
-247439.665         |-247439.665         |581.110             |KS2
-248578.017         |-248578.017         |582.742             |KS2
-248578.017         |-248578.017         |584.414             |KS2
-252254.197         |-252254.197         |595.534             |KS2
-253462.648         |-253462.648         |602.490             |lns
-253699.602         |-253699.602         |765.209             |lns
-253699.602         |-253699.602         |769.593             |random
-253754.503         |-253754.503         |787.040             |random
-258558.039         |-258558.039         |887.810             |lns
total time : 1004.944432258606
