/media/sunyu/OS1/suanli/collectionunzip/berlin_5_8_0
obj                 |bestobj             |time                |
78.000              |78.000              |5.900               |INIT
75.000              |75.000              |6.023               |KS2
74.000              |74.000              |6.192               |KS2
73.000              |73.000              |6.550               |random
70.000              |70.000              |6.900               |lns
69.000              |69.000              |7.494               |random
68.000              |68.000              |8.114               |random
66.000              |66.000              |9.209               |lns
65.000              |65.000              |9.596               |random
64.000              |64.000              |16.060              |random
63.000              |63.000              |22.327              |random
total time : 1000.0029089450836
