/media/sunyu/OS1/suanli/collectionunzip/blp-ar98
obj                 |bestobj             |time                |
6706.676            |6706.676            |50.855              |INIT
6564.499            |6564.499            |100.999             |KS2
6515.016            |6515.016            |151.158             |KS2
6488.681            |6488.681            |251.459             |KS2
6425.145            |6425.145            |301.595             |KS2
6420.883            |6420.883            |352.038             |crossover
6417.851            |6417.851            |397.204             |lns
6415.741            |6415.741            |449.604             |lns
6415.741            |6415.741            |484.471             |random
6394.606            |6394.606            |523.971             |random
6370.948            |6370.948            |587.559             |lns
6368.185            |6368.185            |641.540             |random
6363.785            |6363.785            |725.057             |lns
6362.881            |6362.881            |779.878             |random
6357.239            |6357.239            |859.436             |random
6356.360            |6356.360            |957.135             |lns
total time : 1000.3723983764648
