/media/sunyu/OS1/suanli/collectionunzip/cmflsp50-24-8-8
obj                 |bestobj             |time                |
59418673.806        |59418673.806        |52.663              |INIT
59356106.581        |59356106.581        |54.658              |KS2
59256564.095        |59256564.095        |58.316              |KS2
58606098.921        |58606098.921        |93.124              |KS2
57789295.378        |57789295.378        |143.203             |KS2
57783462.293        |57783462.293        |147.166             |KS2
57733641.452        |57733641.452        |162.952             |lns
57725116.851        |57725116.851        |173.841             |lns
57688117.512        |57688117.512        |188.036             |random
57682514.417        |57682514.417        |235.707             |random
57490882.389        |57490882.389        |335.748             |lns
57367490.077        |57367490.077        |439.624             |lns
57290408.676        |57290408.676        |520.731             |random
57248897.061        |57248897.061        |617.491             |random
57248897.061        |57248897.061        |698.127             |random
57243579.031        |57243579.031        |776.239             |random
57243579.031        |57243579.031        |856.236             |random
57241446.643        |57241446.643        |936.350             |random
total time : 1000.1478064060211
