/media/sunyu/OS1/suanli/collectionunzip/csched010
obj                 |bestobj             |time                |
523.000             |523.000             |50.123              |INIT
516.000             |516.000             |51.709              |KS2
511.000             |511.000             |55.465              |KS2
508.000             |508.000             |57.306              |KS2
454.000             |454.000             |87.800              |KS2
453.000             |453.000             |97.317              |random
451.000             |451.000             |106.021             |random
448.000             |448.000             |125.072             |lns
447.000             |447.000             |142.588             |random
446.000             |446.000             |159.831             |random
445.000             |445.000             |183.285             |random
443.000             |443.000             |203.821             |random
441.000             |441.000             |221.500             |lns
440.000             |440.000             |239.472             |random
439.000             |439.000             |260.173             |random
438.000             |438.000             |279.210             |lns
437.000             |437.000             |301.549             |random
436.000             |436.000             |325.012             |random
435.000             |435.000             |361.118             |random
total time : 1000.003977060318
