/media/sunyu/OS1/suanli/collectionunzip/dc1l
obj                 |bestobj             |time                |
1950588.590         |1950588.590         |63.780              |INIT
1939854.410         |1939854.410         |76.789              |KS2
1939854.410         |1939854.410         |81.161              |KS2
1939854.370         |1939854.370         |89.571              |KS2
1939854.370         |1939854.370         |139.760             |KS2
1886420.960         |1886420.960         |245.807             |lns
1875832.130         |1875832.130         |346.101             |lns
1875313.380         |1875313.380         |454.094             |random
1875212.670         |1875212.670         |563.902             |random
1851771.750         |1851771.750         |677.895             |lns
1851639.010         |1851639.010         |778.168             |lns
1850112.380         |1850112.380         |878.461             |lns
1850011.410         |1850011.410         |978.733             |lns
total time : 1000.7606084346771
