/media/sunyu/OS1/suanli/collectionunzip/fastxgemm-n2r7s4t1
obj                 |bestobj             |time                |
2735.724            |2735.724            |0.503               |KS1
939.000             |939.000             |1.725               |KS2
933.000             |933.000             |3.813               |KS2
745.000             |745.000             |7.809               |KS2
42.000              |42.000              |10.506              |KS2
42.000              |42.000              |17.914              |random
42.000              |42.000              |28.715              |random
42.000              |42.000              |34.459              |random
42.000              |42.000              |53.496              |random
42.000              |42.000              |571.073             |random
42.000              |42.000              |985.404             |random
total time : 1000.0051188468933
