/media/sunyu/OS1/suanli/collectionunzip/gmut-76-50
obj                 |bestobj             |time                |
-13889483.911       |-13889483.911       |57.448              |INIT
-14010934.823       |-14010934.823       |88.285              |KS2
-14045008.896       |-14045008.896       |109.683             |KS2
-14054033.833       |-14054033.833       |221.493             |KS2
-14055829.920       |-14055829.920       |243.496             |random
-14063008.913       |-14063008.913       |278.104             |random
-14063008.913       |-14063008.913       |311.636             |random
-14065457.444       |-14065457.444       |363.129             |random
-14073033.911       |-14073033.911       |451.084             |lns
-14122172.874       |-14122172.874       |476.214             |lns
-14130470.322       |-14130470.322       |498.645             |lns
-14133403.534       |-14133403.534       |512.452             |random
-14133403.534       |-14133403.534       |529.993             |random
-14140698.370       |-14140698.370       |561.805             |random
-14146619.884       |-14146619.884       |591.798             |lns
-14146619.889       |-14146619.889       |615.929             |random
-14148711.004       |-14148711.004       |661.522             |lns
-14148711.017       |-14148711.017       |696.164             |random
-14148711.017       |-14148711.017       |712.938             |lns
-14149259.669       |-14149259.669       |755.590             |random
-14149259.669       |-14149259.669       |793.769             |random
-14150402.000       |-14150402.000       |838.777             |random
-14150777.170       |-14150777.170       |869.296             |random
-14151147.041       |-14151147.041       |920.409             |random
-14151272.476       |-14151272.476       |967.955             |lns
total time : 1000.9977130889893
