/media/sunyu/OS1/suanli/collectionunzip/item_placement_9984
obj                 |bestobj             |time                |
29.452              |29.452              |50.041              |INIT
26.569              |26.569              |58.382              |KS2
25.676              |25.676              |69.506              |KS2
24.382              |24.382              |75.488              |random
24.219              |24.219              |80.567              |random
23.898              |23.898              |86.469              |lns
23.647              |23.647              |93.138              |lns
22.988              |22.988              |99.341              |lns
22.873              |22.873              |113.449             |random
22.835              |22.835              |140.359             |random
22.780              |22.780              |165.383             |random
22.627              |22.627              |181.761             |random
22.553              |22.553              |200.843             |random
22.230              |22.230              |215.870             |random
22.153              |22.153              |226.176             |random
22.153              |22.153              |233.816             |random
22.152              |22.152              |246.409             |random
21.896              |21.896              |336.971             |random
21.837              |21.837              |725.474             |random
21.837              |21.837              |820.244             |random
21.837              |21.837              |834.186             |random
21.804              |21.804              |942.022             |random
total time : 1000.0041656494141
