/media/sunyu/OS1/suanli/collectionunzip/liu
obj                 |bestobj             |time                |
4160.000            |4160.000            |50.049              |INIT
1196.000            |1196.000            |64.573              |KS2
1192.000            |1192.000            |76.599              |KS2
1176.000            |1176.000            |78.778              |KS2
1168.000            |1168.000            |79.207              |random
1166.000            |1166.000            |79.306              |lns
1160.000            |1160.000            |131.436             |random
1160.000            |1160.000            |144.845             |random
1160.000            |1160.000            |149.655             |random
1160.000            |1160.000            |193.062             |random
1158.000            |1158.000            |201.742             |random
1148.000            |1148.000            |205.663             |random
1146.000            |1146.000            |240.302             |random
1144.000            |1144.000            |244.406             |lns
1138.000            |1138.000            |274.974             |random
1136.000            |1136.000            |410.437             |random
1136.000            |1136.000            |421.539             |random
1132.000            |1132.000            |438.036             |random
1132.000            |1132.000            |509.709             |random
1132.000            |1132.000            |570.716             |random
1132.000            |1132.000            |624.528             |random
total time : 1000.0068361759186
