/media/sunyu/OS1/suanli/collectionunzip/load_balancing_1074
obj                 |bestobj             |time                |
706.000             |706.000             |10.716              |KS1
682.000             |682.000             |60.890              |KS2
681.000             |681.000             |111.065             |KS2
676.000             |676.000             |161.216             |KS2
673.000             |673.000             |211.387             |KS2
671.000             |671.000             |261.547             |KS2
670.000             |670.000             |311.727             |crossover
669.000             |669.000             |429.119             |random
669.000             |669.000             |549.214             |random
total time : 1000.1532635688782
