/media/sunyu/OS1/suanli/collectionunzip/milo-v12-6-r1-75-1
obj                 |bestobj             |time                |
4484589.865         |4484589.865         |326.829             |KS1
1948210.502         |1948210.502         |327.921             |KS2
1532452.439         |1532452.439         |377.957             |KS2
1207085.498         |1207085.498         |427.987             |KS2
1176738.013         |1176738.013         |478.025             |KS2
1170674.418         |1170674.418         |478.547             |KS2
1164721.411         |1164721.411         |487.032             |lns
1164721.411         |1164721.411         |504.515             |random
1164721.411         |1164721.411         |536.526             |random
1159539.788         |1159539.788         |555.083             |lns
1159539.788         |1159539.788         |586.276             |random
1159539.788         |1159539.788         |611.881             |random
1157218.610         |1157218.610         |660.487             |random
1154276.630         |1154276.630         |756.977             |lns
1154276.630         |1154276.630         |868.377             |random
total time : 1000.0209641456604
