/media/sunyu/OS1/suanli/collectionunzip/neos-1112782
obj                 |bestobj             |time                |
588019479195.515    |588019479195.515    |50.093              |INIT
581365738991.491    |581365738991.491    |59.507              |KS2
578780817049.458    |578780817049.458    |68.074              |KS2
576479146470.926    |576479146470.926    |78.438              |KS2
576479146470.926    |576479146470.926    |80.776              |KS2
576129946706.566    |576129946706.566    |87.289              |crossover
575578832198.193    |575578832198.193    |97.999              |random
575332561527.085    |575332561527.085    |111.474             |random
574953097504.473    |574953097504.473    |120.710             |lns
574813564305.235    |574813564305.235    |144.278             |random
574609569075.323    |574609569075.323    |160.064             |random
574609569075.323    |574609569075.323    |200.820             |random
574391697033.191    |574391697033.191    |215.211             |random
574162025594.833    |574162025594.833    |245.786             |random
573738084275.648    |573738084275.648    |273.729             |random
573698760866.402    |573698760866.402    |507.624             |random
573524575754.055    |573524575754.055    |561.509             |random
573405865061.258    |573405865061.258    |614.540             |random
573308847490.401    |573308847490.401    |627.531             |random
573132447736.007    |573132447736.007    |647.864             |random
573132447048.031    |573132447048.031    |661.496             |random
573132446057.462    |573132446057.462    |936.933             |random
573132445993.744    |573132445993.744    |949.772             |lns
573132445993.744    |573132445993.744    |979.504             |random
total time : 1000.012603521347
