/media/sunyu/OS1/suanli/collectionunzip/neos-3072252-nete
obj                 |bestobj             |time                |
11883872.000        |11883872.000        |50.016              |INIT
11878292.000        |11878292.000        |51.431              |KS2
11878292.000        |11878292.000        |58.248              |KS2
11875034.000        |11875034.000        |71.725              |random
11836415.000        |11836415.000        |75.284              |random
11831827.000        |11831827.000        |78.556              |lns
11823262.000        |11823262.000        |85.667              |random
11823261.770        |11823261.770        |112.983             |random
11823261.770        |11823261.770        |122.231             |random
11823261.770        |11823261.770        |130.354             |random
11823261.550        |11823261.550        |138.713             |random
11822448.000        |11822448.000        |283.188             |random
11822448.000        |11822448.000        |286.480             |random
11822448.000        |11822448.000        |292.015             |random
11822448.000        |11822448.000        |300.921             |random
11822448.000        |11822448.000        |303.734             |random
11822448.000        |11822448.000        |351.204             |random
11822448.000        |11822448.000        |373.062             |random
11822448.000        |11822448.000        |377.350             |random
11822448.000        |11822448.000        |429.156             |random
11822447.800        |11822447.800        |708.591             |random
11822447.800        |11822447.800        |710.482             |lns
11822447.427        |11822447.427        |795.307             |random
11822447.427        |11822447.427        |796.979             |lns
total time : 1000.0066983699799
