/media/sunyu/OS1/suanli/collectionunzip/neos-3372571-onahau
obj                 |bestobj             |time                |
0.488               |0.488               |27.447              |KS1
0.457               |0.457               |77.568              |KS2
0.457               |0.457               |127.669             |KS2
0.447               |0.447               |177.788             |KS2
0.446               |0.446               |227.904             |KS2
0.429               |0.429               |362.169             |lns
0.429               |0.429               |384.278             |random
0.425               |0.425               |407.478             |lns
0.425               |0.425               |412.390             |random
0.422               |0.422               |454.033             |lns
0.419               |0.419               |564.022             |lns
0.417               |0.417               |636.068             |random
0.415               |0.415               |863.053             |random
0.415               |0.415               |1000.045            |random
total time : 1000.045398235321
