/media/sunyu/OS1/suanli/collectionunzip/neos-3627168-kasai
obj                 |bestobj             |time                |
1003114.420         |1003114.420         |3.330               |INIT
1003114.420         |1003114.420         |3.552               |KS2
1002547.100         |1002547.100         |8.883               |KS2
999297.100          |999297.100          |12.094              |KS2
997518.050          |997518.050          |18.403              |KS2
997518.050          |997518.050          |20.427              |KS2
997356.430          |997356.430          |20.822              |random
996994.810          |996994.810          |21.343              |random
996975.560          |996975.560          |22.044              |random
996956.310          |996956.310          |23.243              |lns
996938.710          |996938.710          |31.491              |random
996893.460          |996893.460          |64.942              |lns
996760.890          |996760.890          |79.525              |random
991352.430          |991352.430          |95.903              |random
990323.380          |990323.380          |105.689             |lns
990323.380          |990323.380          |135.945             |random
990321.980          |990321.980          |158.003             |lns
990301.330          |990301.330          |169.272             |random
990301.330          |990301.330          |192.988             |random
990301.330          |990301.330          |198.003             |random
990282.080          |990282.080          |205.943             |random
990280.680          |990280.680          |273.472             |random
989232.100          |989232.100          |298.436             |lns
989232.100          |989232.100          |301.347             |random
989070.480          |989070.480          |311.368             |lns
989070.480          |989070.480          |320.503             |random
988908.860          |988908.860          |333.035             |random
988747.240          |988747.240          |344.478             |random
988747.240          |988747.240          |345.287             |random
988585.620          |988585.620          |357.269             |random
988585.620          |988585.620          |357.890             |random
988585.620          |988585.620          |358.962             |random
988585.620          |988585.620          |367.843             |random
988585.620          |988585.620          |380.307             |random
988585.620          |988585.620          |549.370             |random
total time : 1000.0058722496033
