/media/sunyu/OS1/suanli/collectionunzip/neos-3665875-lesum
obj                 |bestobj             |time                |
3683.280            |3683.280            |20.490              |KS1
3680.420            |3680.420            |20.939              |KS2
3680.420            |3680.420            |21.207              |random
3680.420            |3680.420            |21.370              |random
3617.120            |3617.120            |28.276              |random
3617.120            |3617.120            |37.067              |random
3582.230            |3582.230            |43.055              |lns
3582.230            |3582.230            |48.444              |random
3582.230            |3582.230            |181.293             |random
total time : 1000.0073616504669
