/media/sunyu/OS1/suanli/collectionunzip/neos-3754480-nidda
obj                 |bestobj             |time                |
14675.942           |14675.942           |0.355               |INIT
14231.444           |14231.444           |1.357               |KS2
13710.943           |13710.943           |2.405               |KS2
13248.198           |13248.198           |3.253               |KS2
13238.198           |13238.198           |3.845               |KS2
12941.738           |12941.738           |3.899               |crossover
12941.738           |12941.738           |3.964               |random
12941.738           |12941.738           |4.103               |random
12941.738           |12941.738           |5.402               |random
12941.738           |12941.738           |7.525               |random
12941.518           |12941.518           |11.146              |random
12941.518           |12941.518           |12.520              |random
12941.388           |12941.388           |14.270              |random
12941.288           |12941.288           |17.215              |random
12941.288           |12941.288           |46.934              |random
12941.178           |12941.178           |85.259              |random
12941.178           |12941.178           |91.005              |random
12941.118           |12941.118           |302.164             |random
12941.118           |12941.118           |303.288             |random
total time : 1000.0017747879028
