/media/sunyu/OS1/suanli/collectionunzip/neos-4343293-stony
obj                 |bestobj             |time                |
70.426              |70.426              |6.886               |KS1
68.841              |68.841              |44.571              |KS2
68.841              |68.841              |79.369              |KS2
68.841              |68.841              |80.283              |KS2
67.426              |67.426              |80.400              |lns
67.426              |67.426              |80.667              |random
64.598              |64.598              |152.157             |random
62.598              |62.598              |169.427             |lns
61.769              |61.769              |230.485             |random
61.769              |61.769              |249.072             |random
61.355              |61.355              |333.518             |random
53.213              |53.213              |350.064             |lns
53.213              |53.213              |367.932             |random
52.799              |52.799              |424.884             |random
51.799              |51.799              |438.712             |lns
51.799              |51.799              |452.421             |random
51.385              |51.385              |500.805             |random
51.213              |51.213              |521.448             |lns
50.627              |50.627              |564.914             |random
50.213              |50.213              |583.018             |lns
50.213              |50.213              |604.336             |random
total time : 1000.023722410202
