/media/sunyu/OS1/suanli/collectionunzip/neos-5076235-embley
obj                 |bestobj             |time                |
3638.000            |3638.000            |18.195              |KS1
2580.000            |2580.000            |54.354              |KS2
2530.000            |2530.000            |85.060              |KS2
2510.000            |2510.000            |117.173             |KS2
2462.000            |2462.000            |285.826             |random
2450.000            |2450.000            |292.345             |random
2416.000            |2416.000            |313.758             |random
2402.000            |2402.000            |337.365             |random
2392.000            |2392.000            |391.055             |random
2390.000            |2390.000            |446.354             |random
2386.000            |2386.000            |775.106             |random
2380.000            |2380.000            |859.530             |random
2380.000            |2380.000            |893.819             |random
2378.000            |2378.000            |952.714             |lns
total time : 1000.7460477352142
