/media/sunyu/OS1/suanli/collectionunzip/neos-5093327-huahum
obj                 |bestobj             |time                |
7934.000            |7934.000            |49.662              |KS1
7258.000            |7258.000            |92.376              |KS2
7176.000            |7176.000            |142.570             |KS2
7074.000            |7074.000            |243.072             |KS2
6832.000            |6832.000            |293.223             |KS2
6832.000            |6832.000            |371.627             |random
6832.000            |6832.000            |381.906             |random
6774.000            |6774.000            |415.303             |random
6773.990            |6773.990            |715.373             |random
6764.000            |6764.000            |822.564             |random
6726.000            |6726.000            |862.312             |random
6438.000            |6438.000            |880.980             |random
6350.000            |6350.000            |933.454             |random
6317.990            |6317.990            |968.081             |random
total time : 1000.0830926895142
