/media/sunyu/OS1/suanli/collectionunzip/neos-5102383-irwell
obj                 |bestobj             |time                |
2436.000            |2436.000            |73.185              |KS1
2384.000            |2384.000            |123.404             |KS2
2384.000            |2384.000            |173.750             |KS2
2330.000            |2330.000            |247.548             |KS2
2316.000            |2316.000            |297.752             |KS2
2312.000            |2312.000            |349.413             |random
2290.000            |2290.000            |413.669             |random
2264.000            |2264.000            |485.713             |lns
2262.000            |2262.000            |495.502             |lns
2248.000            |2248.000            |527.314             |random
2244.000            |2244.000            |588.944             |random
total time : 1000.1989641189575
