/media/sunyu/OS1/suanli/collectionunzip/neos-5107597-kakapo
obj                 |bestobj             |time                |
27045.000           |27045.000           |7.527               |KS1
27036.000           |27036.000           |16.604              |KS2
27018.000           |27018.000           |31.989              |KS2
26955.000           |26955.000           |40.955              |random
26937.000           |26937.000           |44.654              |lns
25155.000           |25155.000           |95.627              |random
24723.000           |24723.000           |134.919             |lns
21501.000           |21501.000           |144.709             |lns
21338.860           |21338.860           |198.660             |lns
21338.860           |21338.860           |216.255             |random
21294.000           |21294.000           |233.161             |random
21132.000           |21132.000           |251.254             |random
19143.000           |19143.000           |258.362             |lns
19062.000           |19062.000           |294.331             |lns
18630.000           |18630.000           |310.721             |random
17919.000           |17919.000           |316.814             |lns
17901.000           |17901.000           |329.276             |random
17892.000           |17892.000           |337.174             |lns
17730.000           |17730.000           |357.272             |random
17658.000           |17658.000           |365.873             |lns
17657.910           |17657.910           |393.722             |lns
17568.000           |17568.000           |404.146             |random
17568.000           |17568.000           |413.932             |random
17514.000           |17514.000           |452.186             |random
17433.000           |17433.000           |472.278             |random
17352.000           |17352.000           |517.031             |random
17352.000           |17352.000           |773.891             |random
17351.960           |17351.960           |795.763             |lns
total time : 1000.0090887546539
