/media/sunyu/OS1/suanli/collectionunzip/neos-5196530-nuhaka
obj                 |bestobj             |time                |
0.016               |0.016               |119.939             |KS1
0.015               |0.015               |120.301             |KS2
0.015               |0.015               |120.666             |KS2
0.015               |0.015               |121.043             |KS2
0.015               |0.015               |121.400             |KS2
0.013               |0.013               |125.700             |lns
0.013               |0.013               |126.278             |random
0.013               |0.013               |130.149             |random
0.013               |0.013               |135.029             |random
0.013               |0.013               |142.588             |random
0.012               |0.012               |150.023             |random
0.012               |0.012               |155.552             |random
0.012               |0.012               |162.052             |random
0.012               |0.012               |167.617             |random
0.012               |0.012               |172.775             |random
0.012               |0.012               |179.205             |random
0.012               |0.012               |183.468             |random
0.012               |0.012               |188.488             |random
0.011               |0.011               |195.777             |random
0.011               |0.011               |201.507             |random
0.011               |0.011               |214.867             |random
0.011               |0.011               |221.662             |random
0.011               |0.011               |227.816             |random
0.011               |0.011               |233.932             |random
0.011               |0.011               |240.036             |random
0.011               |0.011               |249.666             |random
0.011               |0.011               |254.666             |random
0.010               |0.010               |262.868             |random
0.010               |0.010               |268.781             |random
0.010               |0.010               |277.377             |random
0.010               |0.010               |284.117             |random
0.010               |0.010               |290.262             |random
0.010               |0.010               |296.323             |random
0.010               |0.010               |304.568             |random
0.010               |0.010               |310.886             |random
0.010               |0.010               |317.165             |random
0.010               |0.010               |325.159             |random
0.010               |0.010               |332.329             |random
0.010               |0.010               |338.282             |random
0.010               |0.010               |346.571             |random
0.010               |0.010               |353.695             |random
0.010               |0.010               |359.288             |random
0.010               |0.010               |366.291             |random
0.010               |0.010               |374.673             |random
0.010               |0.010               |381.616             |random
0.010               |0.010               |391.547             |random
0.010               |0.010               |400.781             |random
0.010               |0.010               |410.483             |random
0.010               |0.010               |417.464             |random
0.010               |0.010               |442.190             |random
0.010               |0.010               |452.312             |random
0.010               |0.010               |459.759             |random
0.010               |0.010               |481.903             |random
0.010               |0.010               |488.593             |random
0.010               |0.010               |495.593             |random
0.010               |0.010               |503.173             |random
0.010               |0.010               |510.145             |random
0.010               |0.010               |515.385             |random
0.010               |0.010               |520.649             |random
0.010               |0.010               |527.014             |random
0.010               |0.010               |533.591             |random
0.010               |0.010               |549.713             |random
0.010               |0.010               |557.085             |random
0.010               |0.010               |574.891             |random
0.010               |0.010               |585.486             |random
0.010               |0.010               |601.951             |random
0.010               |0.010               |607.365             |random
0.010               |0.010               |648.906             |random
0.010               |0.010               |654.391             |random
0.010               |0.010               |665.811             |random
0.010               |0.010               |672.662             |random
0.010               |0.010               |692.564             |random
0.010               |0.010               |722.928             |random
0.010               |0.010               |734.036             |random
0.010               |0.010               |765.759             |random
total time : 1000.073481798172
