/media/sunyu/OS1/suanli/collectionunzip/netdiversion
obj                 |bestobj             |time                |
278.000             |278.000             |213.228             |KS1
277.000             |277.000             |232.634             |KS2
274.000             |274.000             |253.918             |KS2
272.000             |272.000             |293.461             |random
269.000             |269.000             |297.152             |lns
268.000             |268.000             |305.117             |random
267.000             |267.000             |320.506             |random
265.000             |265.000             |416.261             |lns
264.000             |264.000             |472.959             |lns
260.000             |260.000             |577.854             |random
total time : 1000.5370225906372
