/media/sunyu/OS1/suanli/collectionunzip/opm2-z8-s0
obj                 |bestobj             |time                |
-3912.000           |-3912.000           |21.344              |INIT
-4898.000           |-4898.000           |21.478              |KS2
-5825.000           |-5825.000           |21.606              |KS2
-7801.000           |-7801.000           |21.742              |KS2
-8604.000           |-8604.000           |21.891              |KS2
-8709.000           |-8709.000           |45.054              |lns
-9384.000           |-9384.000           |45.319              |random
-9676.000           |-9676.000           |68.733              |lns
-10045.000          |-10045.000          |91.648              |lns
-10425.000          |-10425.000          |91.926              |random
-10838.000          |-10838.000          |113.374             |lns
-11657.000          |-11657.000          |113.654             |random
-11758.000          |-11758.000          |113.788             |lns
-12078.000          |-12078.000          |114.077             |random
-12210.000          |-12210.000          |114.354             |lns
-12560.000          |-12560.000          |136.995             |lns
-12790.000          |-12790.000          |137.689             |random
-12934.000          |-12934.000          |162.909             |lns
-13174.000          |-13174.000          |163.847             |random
-13303.000          |-13303.000          |164.210             |lns
-13449.000          |-13449.000          |164.573             |random
-13507.000          |-13507.000          |164.825             |lns
-13576.000          |-13576.000          |189.880             |lns
-13660.000          |-13660.000          |190.536             |random
-13760.000          |-13760.000          |212.429             |lns
-13765.000          |-13765.000          |213.399             |random
-13767.000          |-13767.000          |214.194             |lns
-13807.000          |-13807.000          |215.043             |random
-13823.000          |-13823.000          |215.886             |lns
-13889.000          |-13889.000          |238.860             |lns
-13916.000          |-13916.000          |239.924             |lns
-13922.000          |-13922.000          |263.969             |lns
-13947.000          |-13947.000          |264.839             |random
-14172.000          |-14172.000          |290.627             |lns
-14175.000          |-14175.000          |291.354             |lns
-14177.000          |-14177.000          |291.909             |random
-14193.000          |-14193.000          |292.556             |lns
-14220.000          |-14220.000          |318.000             |lns
-14224.000          |-14224.000          |319.212             |random
-14226.000          |-14226.000          |319.813             |lns
-14295.000          |-14295.000          |320.550             |random
-14359.000          |-14359.000          |347.283             |lns
-14365.000          |-14365.000          |370.395             |random
-14405.000          |-14405.000          |400.468             |lns
-14477.000          |-14477.000          |402.787             |random
-14486.000          |-14486.000          |404.014             |lns
-14490.000          |-14490.000          |406.078             |random
-14509.000          |-14509.000          |433.133             |lns
total time : 1000.0242824554443
