/media/sunyu/OS1/suanli/collectionunzip/pg5_34
obj                 |bestobj             |time                |
-11815.469          |-11815.469          |0.053               |INIT
-14289.406          |-14289.406          |36.606              |KS2
-14307.540          |-14307.540          |73.967              |KS2
-14317.470          |-14317.470          |105.155             |KS2
-14322.563          |-14322.563          |127.976             |random
-14322.563          |-14322.563          |145.828             |random
-14327.640          |-14327.640          |160.055             |lns
-14327.640          |-14327.640          |182.472             |random
-14327.640          |-14327.640          |216.655             |random
-14333.725          |-14333.725          |557.965             |random
-14333.725          |-14333.725          |599.735             |random
-14333.735          |-14333.735          |825.707             |random
-14333.735          |-14333.735          |891.163             |random
total time : 1000.0043361186981
