/media/sunyu/OS1/suanli/collectionunzip/set3-10
obj                 |bestobj             |time                |
3192430.341         |3192430.341         |0.151               |INIT
550143.215          |550143.215          |50.184              |KS2
444146.469          |444146.469          |100.209             |KS2
332047.164          |332047.164          |249.233             |lns
294528.594          |294528.594          |258.966             |lns
283984.143          |283984.143          |266.639             |lns
278898.233          |278898.233          |280.152             |random
277959.861          |277959.861          |380.432             |lns
274763.807          |274763.807          |480.448             |lns
270283.535          |270283.535          |580.474             |lns
269930.106          |269930.106          |680.499             |lns
269007.455          |269007.455          |721.060             |random
265850.891          |265850.891          |743.397             |random
261309.153          |261309.153          |764.955             |random
260086.559          |260086.559          |787.664             |random
259630.914          |259630.914          |806.995             |random
255603.311          |255603.311          |832.515             |random
255347.738          |255347.738          |860.268             |random
242961.214          |242961.214          |878.532             |random
239009.401          |239009.401          |903.079             |random
237182.431          |237182.431          |934.221             |random
total time : 1000.1447882652283
