/media/sunyu/OS1/suanli/collectionunzip/shiftreg2-7
obj                 |bestobj             |time                |
52000084.543        |52000084.543        |4.284               |INIT
52000084.543        |52000084.543        |4.360               |KS2
34000126.612        |34000126.612        |4.457               |KS2
10000226.078        |10000226.078        |4.558               |KS2
10000226.078        |10000226.078        |4.743               |KS2
10000220.242        |10000220.242        |6.120               |random
261.361             |261.361             |6.499               |lns
244.531             |244.531             |7.918               |lns
244.531             |244.531             |9.448               |random
233.109             |233.109             |20.735              |lns
231.259             |231.259             |26.430              |lns
231.259             |231.259             |28.138              |random
231.259             |231.259             |30.369              |random
231.259             |231.259             |63.903              |random
230.942             |230.942             |198.536             |random
230.942             |230.942             |200.401             |random
230.942             |230.942             |203.519             |random
230.942             |230.942             |226.077             |random
230.942             |230.942             |231.347             |random
230.942             |230.942             |241.401             |random
230.942             |230.942             |282.790             |random
230.942             |230.942             |308.793             |random
230.942             |230.942             |343.910             |random
230.942             |230.942             |512.072             |random
230.942             |230.942             |567.999             |random
230.942             |230.942             |734.508             |random
230.942             |230.942             |749.916             |random
total time : 1000.022552728653
