/media/sunyu/OS1/suanli/collectionunzip/shipsched
obj                 |bestobj             |time                |
220113.000          |220113.000          |132.508             |KS1
181081.000          |181081.000          |182.611             |KS2
180847.000          |180847.000          |232.708             |KS2
175011.000          |175011.000          |282.833             |KS2
165680.000          |165680.000          |332.921             |KS2
164191.000          |164191.000          |383.003             |KS2
162909.000          |162909.000          |453.896             |crossover
158210.000          |158210.000          |529.245             |lns
157387.000          |157387.000          |629.816             |lns
156808.000          |156808.000          |713.691             |lns
156755.000          |156755.000          |784.406             |random
156755.000          |156755.000          |887.177             |random
154707.000          |154707.000          |989.857             |random
total time : 1000.2778239250183
