/media/sunyu/OS1/suanli/collectionunzip/sing44
obj                 |bestobj             |time                |
8169748.626         |8169748.626         |108.627             |INIT
8168720.571         |8168720.571         |109.349             |KS2
8168047.148         |8168047.148         |110.074             |KS2
8167897.700         |8167897.700         |110.818             |KS2
8160525.582         |8160525.582         |120.202             |KS2
8158246.284         |8158246.284         |121.738             |KS2
8158114.534         |8158114.534         |185.884             |random
8157999.500         |8157999.500         |190.378             |lns
8157809.438         |8157809.438         |262.112             |random
8157809.408         |8157809.408         |267.229             |lns
8157405.272         |8157405.272         |343.005             |random
8157359.438         |8157359.438         |413.570             |lns
8157032.139         |8157032.139         |427.038             |random
8156953.985         |8156953.985         |435.029             |random
8156953.945         |8156953.945         |442.276             |lns
8156632.284         |8156632.284         |521.203             |random
8156625.962         |8156625.962         |529.671             |lns
8146173.700         |8146173.700         |616.099             |random
8146093.738         |8146093.738         |685.364             |lns
8146077.753         |8146077.753         |716.465             |random
8146077.743         |8146077.743         |791.193             |lns
8145894.973         |8145894.973         |798.989             |random
8145796.259         |8145796.259         |866.137             |lns
8145784.499         |8145784.499         |882.217             |random
8145784.489         |8145784.489         |953.580             |lns
8145689.611         |8145689.611         |962.770             |random
total time : 1001.5037190914154
