/media/sunyu/OS1/suanli/collectionunzip/sp98ar
obj                 |bestobj             |time                |
552936915.520       |552936915.520       |52.369              |INIT
549879555.360       |549879555.360       |52.754              |KS2
549253914.240       |549253914.240       |53.162              |KS2
548672168.640       |548672168.640       |53.572              |KS2
548606143.200       |548606143.200       |53.953              |KS2
546940690.080       |546940690.080       |104.156             |KS2
541971158.560       |541971158.560       |104.968             |KS2
541397185.760       |541397185.760       |173.950             |lns
540709609.760       |540709609.760       |245.834             |lns
540288629.280       |540288629.280       |300.127             |random
540091756.160       |540091756.160       |346.276             |random
539974682.400       |539974682.400       |398.018             |random
538903232.960       |538903232.960       |504.533             |random
538346913.120       |538346913.120       |606.916             |lns
537825803.520       |537825803.520       |710.791             |random
537825803.520       |537825803.520       |814.936             |random
537624344.960       |537624344.960       |918.941             |random
total time : 1000.3887975215912
