/media/sunyu/OS1/suanli/collectionunzip/supportcase25
obj                 |bestobj             |time                |
0.062               |0.062               |18.264              |INIT
0.062               |0.062               |19.520              |KS2
0.062               |0.062               |35.593              |random
0.062               |0.062               |38.953              |random
0.062               |0.062               |46.572              |random
0.062               |0.062               |84.357              |random
0.062               |0.062               |87.512              |lns
0.061               |0.061               |94.926              |random
0.060               |0.060               |100.915             |random
0.060               |0.060               |107.947             |random
0.059               |0.059               |115.706             |lns
0.058               |0.058               |122.888             |random
0.058               |0.058               |130.721             |random
0.057               |0.057               |138.831             |random
0.057               |0.057               |146.772             |random
0.057               |0.057               |154.410             |random
0.057               |0.057               |165.000             |random
0.055               |0.055               |172.091             |random
0.055               |0.055               |182.341             |random
0.055               |0.055               |191.529             |random
0.055               |0.055               |201.938             |random
0.055               |0.055               |211.890             |random
0.055               |0.055               |217.893             |random
0.054               |0.054               |224.931             |random
0.054               |0.054               |234.543             |random
0.054               |0.054               |243.078             |random
0.054               |0.054               |250.861             |random
0.053               |0.053               |258.414             |random
0.053               |0.053               |269.464             |random
0.053               |0.053               |275.584             |random
0.053               |0.053               |285.534             |random
0.053               |0.053               |300.537             |random
0.053               |0.053               |312.106             |random
0.053               |0.053               |323.787             |random
0.053               |0.053               |330.730             |random
0.053               |0.053               |349.242             |random
0.053               |0.053               |361.327             |random
0.053               |0.053               |371.089             |random
0.053               |0.053               |378.537             |random
0.053               |0.053               |393.656             |random
0.053               |0.053               |403.621             |random
0.053               |0.053               |417.451             |random
0.053               |0.053               |432.725             |random
0.053               |0.053               |442.281             |random
0.052               |0.052               |454.259             |random
0.052               |0.052               |464.394             |random
0.052               |0.052               |472.617             |random
0.052               |0.052               |480.009             |random
0.052               |0.052               |488.347             |random
0.052               |0.052               |501.978             |random
0.052               |0.052               |511.404             |random
0.052               |0.052               |520.108             |random
0.052               |0.052               |533.739             |random
0.052               |0.052               |543.228             |random
0.052               |0.052               |558.679             |random
0.051               |0.051               |566.956             |random
0.051               |0.051               |581.547             |random
0.051               |0.051               |605.943             |random
0.051               |0.051               |616.353             |random
0.051               |0.051               |625.785             |random
0.051               |0.051               |641.472             |random
0.051               |0.051               |707.091             |random
0.051               |0.051               |729.564             |random
0.051               |0.051               |738.937             |random
0.051               |0.051               |748.770             |random
0.051               |0.051               |758.055             |random
0.051               |0.051               |767.600             |random
0.051               |0.051               |780.463             |random
0.050               |0.050               |790.009             |random
0.050               |0.050               |801.327             |random
0.050               |0.050               |821.050             |random
0.050               |0.050               |829.976             |random
0.050               |0.050               |837.998             |random
0.050               |0.050               |848.957             |random
0.050               |0.050               |870.060             |random
0.050               |0.050               |891.242             |random
0.050               |0.050               |902.942             |random
0.050               |0.050               |911.522             |random
0.050               |0.050               |933.247             |random
0.050               |0.050               |941.313             |random
0.050               |0.050               |963.120             |random
0.050               |0.050               |977.035             |random
0.050               |0.050               |991.382             |random
total time : 1000.2738859653473
