/media/sunyu/OS1/suanli/collectionunzip/usAbbrv-8-25_70
obj                 |bestobj             |time                |
158.000             |158.000             |9.553               |INIT
157.000             |157.000             |10.561              |random
156.000             |156.000             |10.787              |lns
155.000             |155.000             |11.141              |random
154.000             |154.000             |11.409              |lns
148.000             |148.000             |11.984              |lns
147.000             |147.000             |12.370              |random
146.000             |146.000             |12.779              |random
144.000             |144.000             |13.304              |random
142.000             |142.000             |13.616              |lns
134.000             |134.000             |14.272              |lns
133.000             |133.000             |14.783              |random
132.000             |132.000             |15.622              |random
130.000             |130.000             |16.205              |lns
129.000             |129.000             |21.038              |random
128.000             |128.000             |66.360              |random
127.000             |127.000             |115.820             |random
126.000             |126.000             |147.757             |random
125.000             |125.000             |254.988             |random
total time : 1000.0059466362
